1000		4451
1010		5826
1020		4031
1030		7745
1040		4055
1050		6161
1060		3235
1070		6248
1080		2282
1090		6268
1100		6352
1110		5416
1120		4407
1130		7574
1140		4467
1150		3534
1160		7718
1170		5656
1180		5756
1190		6940
1200		6895
1210		5865
1220		6052
1230		8199
1240		9417
1250		6117
1260		7343
1270		3959
1280		6307
1290		8723
1300		7495
1310		6422
1320		8950
1330		6488
1340		7750
1350		7867
1360		6614
1370		6650
1380		9285
1390		4223
1400		10668
1410		6857
1420		6974
1430		7005
1440		10987
1450		4391
1460		7102
1470		11397
1480		4461
1490		8683
1500		8865
1510		4635
1520		10317
1530		6029
1540		4760
1550		10502
1560		6248
1570		4755
1580		10727
1590		9265
1600		4826
1610		9418
1620		11067
1630		7937
1640		4949
1650		11118
1660		11235
1670		9788
1680		6621
1690		11440
1700		13199
1710		8355
1720		6805
1730		11862
1740		10251
1750		10244
1760		12004
1770		17107
1780		10319
1790		12109
1800		13919
1810		8848
1820		14138
1830		12359
1840		11002
1850		7329
1860		16159
1870		12675
1880		12857
1890		11045
1900		11203
1910		15693
1920		11283
1930		13145
1940		11331
1950		15177
1960		13372
1970		6048
1980		11541
1990		19300
2000		11714
