2		2556
3		2556
4		2556
5		2556
6		2556
7		2556
8		2556
9		2556
10		2556
11		2556
12		2556
13		2556
14		2556
15		2556
16		2556
17		2556
18		2556
19		2556
20		2556
21		2556
22		2556
23		2556
24		2556
25		2556
26		2556
27		2556
28		2556
29		2556
30		2556
31		2556
32		2556
33		2556
34		2556
35		2556
36		2556
37		2556
38		2556
39		2556
40		2556
41		2556
42		2556
43		2556
44		2556
45		2556
46		2556
47		2556
48		2556
49		2556
50		2556
51		2556
52		2556
53		2556
54		2556
55		2556
56		2556
57		2556
58		2556
59		2556
60		2556
61		2556
62		2556
63		2556
64		2556
65		2556
66		2556
67		2556
68		2556
69		2556
70		2556
71		2556
72		2556
73		2556
74		2556
75		2556
76		2556
77		2556
78		2556
79		2556
80		2556
81		2556
82		2556
83		2556
84		2556
85		2556
86		2556
87		2556
88		2556
89		2556
90		2556
91		2556
92		2556
93		2556
94		2556
95		2556
96		2556
97		2556
98		2556
99		2556
100		2556
